model_type,step,input_length,accuracy,loss
RNN,1450,5,1.0,0.043655894696712494
RNN,1460,5,0.546875,1.5810891389846802
RNN,1470,5,1.0,0.13213972747325897
RNN,1480,5,1.0,0.0660463348031044
RNN,1490,5,1.0,0.06236771121621132
RNN,1500,5,1.0,0.05679416283965111
RNN,1510,5,1.0,0.04944705218076706
RNN,1520,5,1.0,0.04805365204811096
RNN,1530,5,1.0,0.04486135393381119
RNN,1540,5,1.0,0.04200499504804611
RNN,1550,5,1.0,0.0378367118537426
RNN,1560,5,1.0,0.03546973317861557
RNN,1570,5,1.0,0.03338567167520523
RNN,1580,5,1.0,0.029855601489543915
RNN,1590,5,1.0,0.03215634077787399
RNN,1600,5,1.0,0.031942568719387054
RNN,1610,5,1.0,0.02882932871580124
RNN,1620,5,1.0,0.02630949765443802
RNN,1630,5,1.0,0.023535549640655518
RNN,1640,5,1.0,0.02456454187631607
RNN,1650,5,1.0,0.022308863699436188
RNN,1660,5,1.0,0.023016979917883873
RNN,1670,5,1.0,0.021751565858721733
RNN,1680,5,1.0,0.018122747540473938
RNN,1690,5,1.0,0.018770305439829826
RNN,1700,5,1.0,0.018194841220974922
RNN,1710,5,1.0,0.018604425713419914
RNN,1720,5,1.0,0.01714479550719261
RNN,1730,5,1.0,0.014692396856844425
RNN,1740,5,1.0,0.015430407598614693
RNN,1750,5,1.0,0.01434123981744051
RNN,1760,5,1.0,0.012850603088736534
RNN,1770,5,1.0,0.013282735832035542
RNN,1780,5,1.0,0.012672881595790386
RNN,1790,5,1.0,0.012498286552727222
RNN,1800,5,1.0,0.011434542946517467
RNN,1810,5,1.0,0.010425754822790623
RNN,1820,5,1.0,0.010786092840135098
RNN,1830,5,1.0,0.010589513927698135
RNN,1840,5,1.0,0.00971212051808834
RNN,1850,5,1.0,0.008919640444219112
RNN,1860,5,1.0,0.008519909344613552
RNN,1870,5,1.0,0.008243227377533913
RNN,1880,5,1.0,0.008512004278600216
RNN,1890,5,1.0,0.00778175750747323
RNN,1900,5,1.0,0.007838664576411247
RNN,1910,5,1.0,0.007402027491480112
RNN,1920,5,1.0,0.006914189551025629
RNN,1930,5,1.0,0.0063348677940666676
RNN,1940,5,1.0,0.006096477620303631
RNN,1950,5,1.0,0.005298372358083725
RNN,1960,5,1.0,0.005522811319679022
RNN,1970,5,1.0,0.005226965993642807
RNN,1980,5,1.0,0.004877643194049597
RNN,1990,5,1.0,0.005304363090544939
RNN,2000,5,1.0,0.004803515039384365
RNN,2010,5,1.0,0.0044217463582754135
RNN,2020,5,1.0,0.004599852487444878
RNN,2030,5,1.0,0.0038866261020302773
RNN,2040,5,1.0,0.004152925685048103
RNN,2050,5,1.0,0.0037912423722445965
RNN,2060,5,1.0,0.0034485566429793835
RNN,2070,5,1.0,0.0032790338154882193
RNN,2080,5,1.0,0.0032869121059775352
RNN,2090,5,1.0,0.003128456650301814
RNN,2100,5,1.0,0.0028053338173776865
RNN,2110,5,1.0,0.002773054875433445
RNN,2120,5,1.0,0.0027391433250159025
RNN,2130,5,1.0,0.002754082903265953
RNN,2140,5,1.0,0.0023055614437907934
RNN,2150,5,1.0,0.0023133140057325363
RNN,2160,5,1.0,0.002132666762918234
RNN,2170,5,1.0,0.0020516356453299522
RNN,2180,5,1.0,0.002084606559947133
RNN,2190,5,1.0,0.0019220227841287851
RNN,2200,5,1.0,0.001902680261991918
RNN,2210,5,1.0,0.0019182953983545303
RNN,2220,5,1.0,0.0017382606165483594
RNN,2230,5,1.0,0.0016962944064289331
RNN,2240,5,1.0,0.0014053727500140667
RNN,2250,5,1.0,0.0015185795491561294
RNN,2260,5,1.0,0.0014450628077611327
RNN,2270,5,1.0,0.0014116284437477589
RNN,2280,5,1.0,0.0013923171209171414
RNN,2290,5,1.0,0.0012293015606701374
RNN,0,5,0.078125,2.3025827407836914
RNN,10,5,0.1953125,2.134768486022949
RNN,20,5,0.1796875,1.8034162521362305
RNN,30,5,0.2265625,1.8040493726730347
RNN,40,5,0.1640625,1.834119200706482
RNN,50,5,0.2890625,1.6395314931869507
RNN,60,5,0.2578125,1.8855164051055908
RNN,70,5,0.359375,1.477128267288208
RNN,80,5,0.3125,1.4763857126235962
RNN,90,5,0.3671875,1.3519296646118164
RNN,100,5,0.390625,1.376469373703003
RNN,0,5,0.0546875,2.3025827407836914
RNN,10,5,0.203125,2.202859878540039
RNN,20,5,0.1875,1.8030000925064087
RNN,30,5,0.21875,1.791008472442627
RNN,40,5,0.1484375,1.83465576171875
RNN,50,5,0.203125,1.7218332290649414
RNN,60,5,0.2890625,1.6745109558105469
RNN,70,5,0.265625,1.7207554578781128
RNN,80,5,0.234375,1.719801664352417
RNN,90,5,0.328125,1.658313512802124
RNN,100,5,0.25,1.585761308670044
RNN,0,5,0.0859375,2.3025827407836914
RNN,10,5,0.1015625,2.3034346103668213
RNN,20,5,0.0703125,2.3035199642181396
RNN,30,5,0.09375,2.3017406463623047
RNN,40,5,0.0859375,2.3029940128326416
RNN,50,5,0.0859375,2.3020172119140625
RNN,60,5,0.1015625,2.3026816844940186
RNN,70,5,0.15625,2.1046905517578125
RNN,80,5,0.21875,1.8058263063430786
RNN,90,5,0.2109375,1.6664111614227295
RNN,100,5,0.3125,1.5659228563308716
RNN,110,5,0.3046875,1.5712651014328003
RNN,120,5,0.4453125,1.5416741371154785
RNN,130,5,0.375,1.5030595064163208
RNN,140,5,0.2890625,1.6427007913589478
RNN,150,5,0.46875,1.3952555656433105
RNN,160,5,0.3828125,1.4051676988601685
RNN,170,5,0.46875,1.2714060544967651
RNN,180,5,0.5078125,1.2778700590133667
RNN,190,5,0.359375,1.3158388137817383
RNN,200,5,0.59375,1.1329522132873535
RNN,210,5,0.1953125,1.6684036254882812
RNN,220,5,0.4609375,1.2990870475769043
RNN,230,5,0.59375,1.0891565084457397
RNN,240,5,0.5703125,1.06393301486969
RNN,250,5,0.5234375,1.075227975845337
RNN,260,5,0.609375,1.0130386352539062
RNN,270,5,0.5546875,1.0099447965621948
RNN,280,5,0.5546875,1.0156080722808838
RNN,290,5,0.609375,0.9218626618385315
RNN,300,5,0.65625,0.9454535841941833
RNN,310,5,0.6171875,0.9351123571395874
RNN,320,5,0.546875,0.9342553019523621
RNN,330,5,0.5,1.0559457540512085
RNN,340,5,0.71875,0.767701268196106
RNN,350,5,0.6171875,0.9030970335006714
RNN,360,5,0.765625,0.7626345157623291
RNN,370,5,0.6171875,0.8172447085380554
RNN,380,5,0.6796875,0.7756748795509338
RNN,390,5,0.671875,0.7457791566848755
RNN,400,5,0.5546875,0.946407675743103
RNN,410,5,0.7890625,0.6286707520484924
RNN,420,5,0.640625,0.8658591508865356
