iter 82, train_loss_avg 2.3689225280141257, test_loss_avg 1.8002197742462158, train_acc 0.33000001311302185, test_acc_avg 0.3470644517938296
iter 83, train_loss_avg 2.3614511702741896, test_loss_avg 1.820707082748413, train_acc 0.3733333349227905, test_acc_avg 0.3439600071310997
iter 84, train_loss_avg 2.3554460707832785, test_loss_avg 1.8460462093353271, train_acc 0.27666667103767395, test_acc_avg 0.3425555626948675
iter 85, train_loss_avg 2.3499889373779297, test_loss_avg 1.8436170816421509, train_acc 0.32333335280418396, test_acc_avg 0.34207334063450495
iter 86, train_loss_avg 2.3429817838230353, test_loss_avg 1.835114598274231, train_acc 0.3733333349227905, test_acc_avg 0.3413644515872002
iter 87, train_loss_avg 2.3363905413584276, test_loss_avg 1.8270437717437744, train_acc 0.3566666841506958, test_acc_avg 0.3325866737961769
iter 88, train_loss_avg 2.3305899869190174, test_loss_avg 1.8349833488464355, train_acc 0.3199999928474426, test_acc_avg 0.32810222935676575
iter 89, train_loss_avg 2.325919051965078, test_loss_avg 1.8076759576797485, train_acc 0.3266666829586029, test_acc_avg 0.3421533405780792
iter 90, train_loss_avg 2.321208139042278, test_loss_avg 1.7829691171646118, train_acc 0.2433333396911621, test_acc_avg 0.35333334090312324
iter 91, train_loss_avg 2.3153962428155155, test_loss_avg 1.7982563972473145, train_acc 0.35333335399627686, test_acc_avg 0.3338044510682424
iter 92, train_loss_avg 2.3100804116136286, test_loss_avg 1.8033117055892944, train_acc 0.32333335280418396, test_acc_avg 0.33000889607270556
iter 93, train_loss_avg 2.3056638316905245, test_loss_avg 1.796939730644226, train_acc 0.28333333134651184, test_acc_avg 0.3281444516777992
iter 94, train_loss_avg 2.2999964676405256, test_loss_avg 1.7902379035949707, train_acc 0.3333333432674408, test_acc_avg 0.3455755625963211
iter 95, train_loss_avg 2.2949161690970263, test_loss_avg 1.7960569858551025, train_acc 0.31333333253860474, test_acc_avg 0.3391555625995
iter 96, train_loss_avg 2.2892258953802362, test_loss_avg 1.792372703552246, train_acc 0.35333335399627686, test_acc_avg 0.34474667368332546
iter 97, train_loss_avg 2.2834268723215376, test_loss_avg 1.7796884775161743, train_acc 0.36000001430511475, test_acc_avg 0.3495644517540932
iter 98, train_loss_avg 2.2784319574182685, test_loss_avg 1.7577372789382935, train_acc 0.34333333373069763, test_acc_avg 0.3519733410080274
iter 99, train_loss_avg 2.273881949186325, test_loss_avg 1.745690107345581, train_acc 0.3633333444595337, test_acc_avg 0.36308000802993773
iter 100, train_loss_avg 2.268413191974753, test_loss_avg 1.74559485912323, train_acc 0.35333335399627686, test_acc_avg 0.37031334201494853
